period,theta,mu,xi,n,a,s,psi,support,quota_wedge,signal_precision,natural_entry,quota_gap
56,0.20540708936976587,0.171605824969793,11.779127276201738,1.5,0.0,0.375,-0.08527962633412156,0.0,0.08527962633412156,1.2750937988318962,1.5864889337898034,0.08648893378980338
57,0.14794647604828837,0.2133580393949825,11.77553822893939,1.5,0.0,0.375,-0.12206897012781037,0.0,0.12206897012781037,1.2750937988318962,1.6223437993991237,0.12234379939912365
58,0.38372804345250955,0.10647287620338755,11.773276502242664,1.5,0.0,0.375,-0.04871677778968064,0.0,0.04871677778968064,1.2750937988318962,1.550000130435174,0.05000013043517404
59,0.21482182662503366,0.04789378828820122,11.771851026759672,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
60,0.027350315105070327,-0.018130240864399638,11.770952530314183,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
61,0.18813531226866442,-0.10575611274640448,11.770386165473223,1.5,0.125,0.375,0.09292972891075602,0.09292972891075602,0.0,1.673560610966864,1.3999508438947856,0.0
62,-0.05183465864545461,-0.04937859148045752,12.01892275013837,1.5,0.0,0.375,0.05787240876855748,0.05787240876855748,0.0,1.2750937988318962,1.438442519781927,0.0
63,-0.0844287780345099,-0.21112457051951733,11.925806634308554,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
64,0.14550873833728883,-0.2258874991391636,11.995993309819587,1.25,0.125,0.375,-0.03724215197749825,0.0,0.03724215197749825,1.4811247357338566,1.2904348776129217,0.04043487761292175
65,0.40997192408569566,-0.17716856022859237,12.039437931994364,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
66,0.3812808022291255,0.07561479445399405,12.066259764979748,1.5,0.0,0.375,-0.04871677778968064,0.0,0.04871677778968064,1.2750937988318962,1.550000130435174,0.05000013043517404
67,0.28788575583255943,0.13258094179868057,11.95527509425709,1.5,0.0,0.375,-0.08527962633412156,0.0,0.08527962633412156,1.2750937988318962,1.5864889337898034,0.08648893378980338
68,0.16460653028339645,0.04683106624554672,11.886083261092878,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
69,0.391982396334401,0.08608489189337408,11.842767547943616,1.5,0.0,0.375,-0.04871677778968064,0.0,0.04871677778968064,1.2750937988318962,1.550000130435174,0.05000013043517404
70,0.31631884040097374,0.0768907338833849,11.815580546180602,1.5,0.0,0.375,-0.04871677778968064,0.0,0.04871677778968064,1.2750937988318962,1.550000130435174,0.05000013043517404
71,0.21668583716220333,0.061968663740317835,11.798488932853802,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
72,0.10467748601177125,0.10160612420969835,11.787732991043006,1.5,0.0,0.375,-0.04871677778968064,0.0,0.04871677778968064,1.2750937988318962,1.550000130435174,0.05000013043517404
73,0.19156269154762626,0.09772064226577325,11.78095980562441,1.5,0.0,0.375,-0.04871677778968064,0.0,0.04871677778968064,1.2750937988318962,1.550000130435174,0.05000013043517404
74,0.03759082725139229,0.039669340780258563,11.776692898001539,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
75,0.07928599150334573,0.06988745743884306,11.774004186352412,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
76,-0.15242497269502514,0.005270468016449064,11.772309673071643,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
77,-0.3005573939277394,-0.16635966160225857,11.771241627733225,1.5,0.125,0.375,0.1258352723859858,0.1258352723859858,0.0,1.673560610966864,1.3629565903424594,0.0
78,-0.2558218110892751,-0.23398072151847413,12.01945221264941,1.25,0.125,0.375,-0.03724215197749825,0.0,0.03724215197749825,1.4811247357338566,1.2904348776129217,0.04043487761292175
79,-0.10938813334523373,-0.2152627755735114,12.053927601192683,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
80,-0.3700800250860503,-0.16850686710922283,12.075193557900533,1.5,0.125,0.375,0.1258352723859858,0.1258352723859858,0.0,1.673560610966864,1.3629565903424594,0.0
81,-0.12496531385598444,-0.19311977803597338,12.20627083349091,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
82,-0.1465780018129479,-0.16367522754119895,12.168766093121349,1.5,0.125,0.375,0.1258352723859858,0.1258352723859858,0.0,1.673560610966864,1.3629565903424594,0.0
83,0.14202560146210136,-0.13824524406171126,12.26326500089892,1.5,0.125,0.375,0.1258352723859858,0.1258352723859858,0.0,1.673560610966864,1.3629565903424594,0.0
84,0.18753472177012714,-0.03515989465832601,12.320578428637196,1.5,0.0,0.375,0.05787240876855748,0.05787240876855748,0.0,1.2750937988318962,1.438442519781927,0.0
85,0.22575413608099787,0.12656438670778275,12.112505508646118,1.5,0.0,0.375,-0.08527962633412156,0.0,0.08527962633412156,1.2750937988318962,1.5864889337898034,0.08648893378980338
86,0.09065128681920454,0.04957442458449502,11.98400247143622,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
87,0.059695887887737026,0.02266658210279747,11.90402680028262,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
88,0.1346443291565488,-0.08108997797022766,11.854013880571356,1.5,0.125,0.375,0.09292972891075602,0.09292972891075602,0.0,1.673560610966864,1.3999508438947856,0.0
89,0.006679476234015269,-0.020912250018888804,12.07058373409542,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
