period,hotspot_a,belief_a,n,a,test_intensity,s,psi,support,quota_wedge,signal_accuracy,natural_entry,quota_gap
43,1,0.7405521041971607,1.0,1.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
44,1,0.7263810841056272,1.0,1.0,0.0,0.375,0.35567444150586974,0.35567444150586974,0.0,0.5390844171540782,0.6144659838173967,0.0
45,0,0.6631016769985297,1.0,0.75,0.75,0.375,0.37655813045363856,0.37655813045363856,0.0,0.6707147342675921,0.5870991332981195,0.0
46,0,0.49280352088163604,1.0,0.5,1.0,0.375,0.388177731572517,0.388177731572517,0.0,0.7044462927531923,0.57158984389505,0.0
47,0,0.32326021599297156,1.0,0.15000000000000002,0.51,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
48,1,0.261577819263697,1.0,0.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
49,1,0.3260732696595819,1.0,0.15000000000000002,0.51,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
50,1,0.4629962333080954,1.0,0.45,0.9900000000000001,0.375,0.38764432600662674,0.38764432600662674,0.0,0.7031787448774502,0.5723063230360164,0.0
51,1,0.6439150120188785,1.0,0.75,0.75,0.375,0.37745662018732773,0.37745662018732773,0.0,0.6707147342675921,0.5859071780902871,0.0
52,0,0.47503481323104607,1.0,0.45,0.9900000000000001,0.375,0.3878221587002199,0.3878221587002199,0.0,0.7031787448774502,0.5720675038650622,0.0
53,0,0.31217008768475746,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
54,0,0.3148294754395679,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
55,0,0.31692569059571696,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
56,0,0.31857918922846346,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
57,0,0.37694729704111085,1.0,0.30000000000000004,0.8400000000000001,0.375,0.38104276157061934,0.38104276157061934,0.0,0.6833611216184847,0.5811375867420083,0.0
58,0,0.26391922641983356,1.0,0.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
59,0,0.32818152991338423,1.0,0.15000000000000002,0.51,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
60,0,0.4649928308842102,1.0,0.45,0.9900000000000001,0.375,0.38764432600662674,0.38764432600662674,0.0,0.7031787448774502,0.5723063230360164,0.0
61,0,0.6454009030279423,1.0,0.75,0.75,0.375,0.37745662018732773,0.37745662018732773,0.0,0.6707147342675921,0.5859071780902871,0.0
62,0,0.476392425695044,1.0,0.45,0.9900000000000001,0.375,0.3878221587002199,0.3878221587002199,0.0,0.7031787448774502,0.5720675038650622,0.0
